id,nombre_mes,nombre_dia,release_year,release_date,title,vote_count,revenue,budget,vote_average,popularity,return
862,octubre,Lunes,1995,1995-10-30,Toy Story,5415.0,373554033.0,30000000.0,7.7,21.946943,12.4518011
8844,diciembre,Viernes,1995,1995-12-15,Jumanji,2413.0,262797249.0,65000000.0,6.9,17.015539,4.0430346
15602,diciembre,Viernes,1995,1995-12-22,Grumpier Old Men,92.0,0.0,0.0,6.5,11.7129,0.0
31357,diciembre,Viernes,1995,1995-12-22,Waiting to Exhale,34.0,81452156.0,16000000.0,6.1,3.859495,5.09075975
11862,febrero,Viernes,1995,1995-02-10,Father of the Bride Part II,173.0,76578911.0,0.0,5.7,8.387519,0.0
949,diciembre,Viernes,1995,1995-12-15,Heat,1886.0,187436818.0,60000000.0,7.7,17.924927,3.123946966666667
11860,diciembre,Viernes,1995,1995-12-15,Sabrina,141.0,0.0,58000000.0,6.2,6.677277,0.0
45325,diciembre,Viernes,1995,1995-12-22,Tom and Huck,45.0,0.0,0.0,5.4,2.561161,0.0
9091,diciembre,Viernes,1995,1995-12-22,Sudden Death,174.0,64350171.0,35000000.0,5.5,5.23158,1.8385763142857143
710,noviembre,Jueves,1995,1995-11-16,GoldenEye,1194.0,352194034.0,58000000.0,6.6,14.686036,6.072310931034483
9087,noviembre,Viernes,1995,1995-11-17,The American President,199.0,107879496.0,62000000.0,6.5,6.318445,1.739991870967742
12110,diciembre,Viernes,1995,1995-12-22,Dracula: Dead and Loving It,210.0,0.0,0.0,5.7,5.430331,0.0
21032,diciembre,Viernes,1995,1995-12-22,Balto,423.0,11348324.0,0.0,7.1,12.140733,0.0
10858,diciembre,Viernes,1995,1995-12-22,Nixon,72.0,13681765.0,44000000.0,7.1,5.092,0.31094920454545455
1408,diciembre,Viernes,1995,1995-12-22,Cutthroat Island,137.0,10017322.0,98000000.0,5.7,7.284477,0.10221757142857144
524,noviembre,Miércoles,1995,1995-11-22,Casino,1343.0,116112375.0,52000000.0,7.8,10.137389,2.2329302884615383
4584,diciembre,Miércoles,1995,1995-12-13,Sense and Sensibility,364.0,135000000.0,16500000.0,7.2,10.673167,8.181818181818182
5,diciembre,Sábado,1995,1995-12-09,Four Rooms,539.0,4300000.0,4000000.0,6.5,9.026586,1.075
9273,noviembre,Viernes,1995,1995-11-10,Ace Ventura: When Nature Calls,1128.0,212385533.0,30000000.0,6.1,8.205448,7.079517766666667
11517,noviembre,Martes,1995,1995-11-21,Money Train,224.0,35431113.0,60000000.0,5.4,7.337906,0.59051855
8012,octubre,Viernes,1995,1995-10-20,Get Shorty,305.0,115101622.0,30250000.0,6.4,12.669608,3.805012297520661
1710,octubre,Viernes,1995,1995-10-27,Copycat,199.0,0.0,0.0,6.5,10.701801,0.0
9691,octubre,Viernes,1995,1995-10-06,Assassins,394.0,30303072.0,50000000.0,6.0,11.065939,0.60606144
12665,octubre,Viernes,1995,1995-10-27,Powder,143.0,0.0,0.0,6.3,12.133094,0.0
451,octubre,Viernes,1995,1995-10-27,Leaving Las Vegas,365.0,49800000.0,3600000.0,7.1,10.332025,13.833333333333334
16420,diciembre,Viernes,1995,1995-12-15,Othello,33.0,0.0,0.0,7.0,1.845899,0.0
9263,octubre,Viernes,1995,1995-10-20,Now and Then,91.0,27400000.0,12000000.0,6.6,8.681325,2.283333333333333
17015,septiembre,Miércoles,1995,1995-09-27,Persuasion,36.0,0.0,0.0,7.4,2.228434,0.0
