nombre_mes,nombre_dia,release_year,title,vote_count,vote_average,popularity
octubre,Lunes,1995,Toy Story,5415.0,7.7,21.946943
diciembre,Viernes,1995,Jumanji,2413.0,6.9,17.015539
diciembre,Viernes,1995,Grumpier Old Men,92.0,6.5,11.7129
diciembre,Viernes,1995,Waiting to Exhale,34.0,6.1,3.859495
febrero,Viernes,1995,Father of the Bride Part II,173.0,5.7,8.387519
diciembre,Viernes,1995,Heat,1886.0,7.7,17.924927
diciembre,Viernes,1995,Sabrina,141.0,6.2,6.677277
diciembre,Viernes,1995,Tom and Huck,45.0,5.4,2.561161
diciembre,Viernes,1995,Sudden Death,174.0,5.5,5.23158
noviembre,Jueves,1995,GoldenEye,1194.0,6.6,14.686036
noviembre,Viernes,1995,The American President,199.0,6.5,6.318445
diciembre,Viernes,1995,Dracula: Dead and Loving It,210.0,5.7,5.430331
diciembre,Viernes,1995,Balto,423.0,7.1,12.140733
diciembre,Viernes,1995,Nixon,72.0,7.1,5.092
diciembre,Viernes,1995,Cutthroat Island,137.0,5.7,7.284477
noviembre,Miércoles,1995,Casino,1343.0,7.8,10.137389
diciembre,Miércoles,1995,Sense and Sensibility,364.0,7.2,10.673167
diciembre,Sábado,1995,Four Rooms,539.0,6.5,9.026586
noviembre,Viernes,1995,Ace Ventura: When Nature Calls,1128.0,6.1,8.205448
noviembre,Martes,1995,Money Train,224.0,5.4,7.337906
octubre,Viernes,1995,Get Shorty,305.0,6.4,12.669608
octubre,Viernes,1995,Copycat,199.0,6.5,10.701801
octubre,Viernes,1995,Assassins,394.0,6.0,11.065939
octubre,Viernes,1995,Powder,143.0,6.3,12.133094
octubre,Viernes,1995,Leaving Las Vegas,365.0,7.1,10.332025
diciembre,Viernes,1995,Othello,33.0,7.0,1.845899
octubre,Viernes,1995,Now and Then,91.0,6.6,8.681325
septiembre,Miércoles,1995,Persuasion,36.0,7.4,2.228434
mayo,Martes,1995,The City of Lost Children,308.0,7.6,9.822423
abril,Domingo,1995,Shanghai Triad,17.0,6.5,1.100915
agosto,Viernes,1995,Dangerous Minds,249.0,6.4,9.481338
diciembre,Viernes,1995,Twelve Monkeys,2470.0,7.4,12.297305
septiembre,Miércoles,1996,Wings of Courage,4.0,6.8,0.745542
julio,Martes,1995,Babe,756.0,6.0,14.404764
noviembre,Miércoles,1995,Carrington,16.0,6.4,1.493361
diciembre,Viernes,1995,Dead Man Walking,350.0,7.3,6.891317
octubre,Viernes,1995,Across the Sea of Time,2.0,3.5,0.114469
noviembre,Viernes,1995,It Takes Two,149.0,6.1,7.777735
julio,Miércoles,1995,Clueless,828.0,6.9,9.882383
diciembre,Viernes,1995,"Cry, the Beloved Country",13.0,6.7,0.894647
diciembre,Viernes,1995,Richard III,50.0,6.9,4.561387
octubre,Viernes,1995,Dead Presidents,80.0,6.6,9.87957
diciembre,Viernes,1995,Restoration,30.0,6.3,10.979269
agosto,Viernes,1995,Mortal Kombat,452.0,5.4,10.870138
mayo,Sábado,1995,To Die For,177.0,6.7,10.448481
octubre,Viernes,1995,How To Make An American Quilt,38.0,6.5,4.485958
septiembre,Viernes,1995,Se7en,5915.0,8.1,18.45743
junio,Miércoles,1995,Pocahontas,1509.0,6.7,13.280069
mayo,Viernes,1995,When Night Is Falling,10.0,5.9,3.302524
julio,Miércoles,1995,The Usual Suspects,3334.0,8.1,16.302466
noviembre,Martes,1994,Guardian Angel,3.0,6.3,0.595949
septiembre,Miércoles,1995,Mighty Aphrodite,145.0,6.7,15.899134
enero,Sábado,1994,Lamerica,11.0,7.7,1.361286
septiembre,Viernes,1995,The Big Green,41.0,5.2,5.982764
mayo,Viernes,1995,Georgia,15.0,6.1,4.093443
julio,Martes,1997,Kids of the Round Table,1.0,3.0,0.307075
noviembre,Jueves,1995,Home for the Holidays,39.0,6.3,8.416802
septiembre,Jueves,1994,The Postman,181.0,7.6,10.168437
septiembre,Viernes,1995,The Confessional,2.0,6.5,0.120789
julio,Viernes,1995,The Indian in the Cupboard,136.0,5.9,10.673296
enero,Viernes,1996,Eye for an Eye,65.0,5.8,4.733526
diciembre,Viernes,1995,Mr. Holland's Opus,115.0,6.9,7.137117
enero,Viernes,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,6.2,11.700115
enero,Viernes,1996,Two If by Sea,14.0,4.5,2.174487
enero,Viernes,1996,Bio-Dome,110.0,4.4,6.387469
enero,Viernes,1996,Lawnmower Man 2: Beyond Cyberspace,32.0,2.8,2.49535
octubre,Domingo,1995,Two Bits,11.0,5.4,4.046208
febrero,Miércoles,1995,French Twist,43.0,6.0,2.518051
abril,Miércoles,1995,Friday,513.0,7.0,14.56965
enero,Viernes,1996,From Dusk Till Dawn,1644.0,6.9,15.339153
noviembre,Viernes,1995,Fair Game,54.0,4.1,5.912223
octubre,Viernes,1995,Kicking and Screaming,36.0,7.0,3.367276
marzo,Miércoles,1995,Les Miserables,8.0,6.6,1.479446
enero,Viernes,1996,Bed of Roses,27.0,5.1,10.412194
enero,Viernes,1996,Big Bully,16.0,3.9,2.936443
septiembre,Viernes,1995,Screamers,154.0,6.1,12.758848
febrero,Sábado,1995,Nico Icon,3.0,7.3,0.133893
noviembre,Miércoles,1995,The Crossing Guard,74.0,6.1,5.756462
febrero,Viernes,1996,The Juror,91.0,5.5,6.010579
enero,Domingo,1995,The White Balloon,20.0,7.5,1.196256
diciembre,Viernes,1995,Things to Do in Denver When You're Dead,87.0,6.7,4.486179
septiembre,Martes,1995,Antonia's Line,26.0,7.2,2.030174
enero,Viernes,1996,Once Upon a Time... When We Were Colored,2.0,4.5,0.252287
noviembre,Miércoles,1995,Last Summer in the Hamptons,0.0,0.0,0.531159
septiembre,Domingo,1995,Angels and Insects,17.0,6.3,2.15166
febrero,Viernes,1996,White Squall,86.0,6.3,9.568604
enero,Viernes,1996,Dunston Checks In,59.0,5.1,4.814825
febrero,Jueves,1996,Black Sheep,124.0,6.0,8.963037
noviembre,Miércoles,1995,Nick of Time,190.0,6.1,6.848591
septiembre,Jueves,1995,The Journey of August King,3.0,6.7,0.411424
febrero,Viernes,1996,Mary Reilly,77.0,5.7,12.866139
octubre,Jueves,1995,Vampire in Brooklyn,113.0,4.5,9.071127
febrero,Viernes,1996,Beautiful Girls,103.0,6.6,4.670562
febrero,Viernes,1996,Broken Arrow,459.0,5.7,14.957626
diciembre,Viernes,1995,A Midwinter's Tale,6.0,7.5,0.513391
mayo,Miércoles,1995,La Haine,695.0,7.9,12.108196
diciembre,Martes,1994,Shopping,13.0,5.6,2.657647
diciembre,Miércoles,1995,Heidi Fleiss: Hollywood Madam,4.0,6.8,0.638211
febrero,Viernes,1996,City Hall,67.0,6.0,4.807223
febrero,Miércoles,1996,Bottle Rocket,285.0,6.8,6.904831
febrero,Viernes,1996,Mr. Wrong,16.0,3.3,3.329264
febrero,Viernes,1996,Unforgettable,22.0,5.3,2.464425
febrero,Viernes,1996,Happy Gilmore,767.0,6.5,9.592265
mayo,Domingo,1995,The Bridges of Madison County,397.0,7.3,5.951077
noviembre,Lunes,1994,Nobody Loves Me,5.0,5.1,1.015068
febrero,Viernes,1996,Muppet Treasure Island,93.0,6.5,6.902423
diciembre,Viernes,1995,Catwalk,2.0,7.0,0.976707
mayo,Sábado,1995,Headless Body in Topless Bar,0.0,0.0,0.001346
mayo,Miércoles,1995,Braveheart,3404.0,7.7,20.755149
febrero,Sábado,1976,Taxi Driver,2632.0,8.1,14.092713
enero,Lunes,1995,Rumble in the Bronx,245.0,6.5,12.314278
febrero,Viernes,1996,Before and After,37.0,5.8,2.938293
septiembre,Miércoles,1995,Margaret's Museum,2.0,7.5,0.372697
enero,Martes,1995,Happiness Is in the Field,23.0,7.0,1.254885
junio,Jueves,1995,Anne Frank Remembered,4.0,7.3,0.243986
enero,Viernes,1995,The Young Poisoner's Handbook,19.0,6.9,6.178497
marzo,Viernes,1996,If Lucy Fell,11.0,5.4,2.891918
septiembre,Viernes,1995,Steal Big Steal Little,7.0,5.1,1.522412
marzo,Viernes,1996,Race the Sun,21.0,5.2,1.317878
diciembre,Domingo,1992,The Boys of St. Vincent,7.0,7.0,0.86539
junio,Martes,1992,Boomerang,139.0,5.4,6.506983
julio,Jueves,1994,Chungking Express,249.0,7.9,6.778979
septiembre,Jueves,1995,The Star Maker,29.0,6.8,1.702639
marzo,Viernes,1996,Flirting with Disaster,66.0,6.3,5.579088
octubre,Miércoles,1994,The Neverending Story III: Escape from Fantasia,105.0,4.4,6.252377
septiembre,Viernes,1994,The Silences of the Palace,3.0,4.3,0.406754
enero,Domingo,1995,Jupiter's Wife,0.0,0.0,0.001178
febrero,Viernes,1996,Pie in the Sky,2.0,7.0,0.699066
enero,Domingo,1995,Angela,9.0,5.6,2.197439
noviembre,Miércoles,1995,Frankie Starlight,4.0,5.4,0.637554
octubre,Viernes,1995,Jade,45.0,5.1,11.418917
agosto,Miércoles,1995,Nueba Yol,1.0,5.5,0.291021
agosto,Martes,1995,Sonic Outlaws,0.0,0.0,0.001838
marzo,Viernes,1996,Down Periscope,110.0,5.6,5.184977
septiembre,Viernes,1995,From the Journals of Jean Seberg,2.0,6.5,0.276401
septiembre,Viernes,1995,Man of the Year,2.0,3.8,0.540436
agosto,Miércoles,1995,The Neon Bible,5.0,7.2,0.370342
agosto,Martes,1995,Target,0.0,0.0,0.001205
marzo,Viernes,1996,Up Close & Personal,51.0,5.9,3.402749
marzo,Viernes,1996,The Birdcage,303.0,6.7,6.49968
octubre,Jueves,1995,Virgin Mary,2.0,7.0,0.918504
agosto,Miércoles,1995,The Brothers McMullen,23.0,6.3,2.039196
abril,Viernes,1995,Bad Boys,1729.0,6.5,9.262184
agosto,Viernes,1995,The Amazing Panda Adventure,31.0,5.0,2.375865
abril,Viernes,1995,The Basketball Diaries,472.0,7.2,7.415144
julio,Viernes,1995,An Awfully Big Adventure,11.0,6.0,0.922958
agosto,Viernes,1994,Amateur,21.0,6.5,1.759012
junio,Viernes,1995,Apollo 13,1637.0,7.3,18.761467
abril,Jueves,1995,Rob Roy,151.0,6.5,10.193549
enero,Martes,1995,The Addiction,46.0,6.4,3.137285
junio,Viernes,1995,Batman Forever,1529.0,5.2,13.321354
mayo,Miércoles,1967,Belle de Jour,163.0,7.3,10.142662
mayo,Miércoles,1995,Beyond Rangoon,21.0,6.4,2.04189
septiembre,Viernes,1995,Blue in the Face,28.0,6.8,11.528147
junio,Jueves,1995,Canadian Bacon,57.0,5.9,5.391556
mayo,Viernes,1995,Casper,1045.0,6.0,12.812539
septiembre,Viernes,1995,Clockers,69.0,6.8,4.558992
junio,Viernes,1995,Congo,214.0,5.0,7.260574
mayo,Viernes,1995,Crimson Tide,508.0,7.0,8.657365
septiembre,Sábado,1994,Crumb,71.0,7.6,3.620388
agosto,Viernes,1995,Desperado,898.0,6.8,6.950458
septiembre,Viernes,1995,Devil in a Blue Dress,88.0,6.3,4.646132
mayo,Viernes,1995,Die Hard: With a Vengeance,2094.0,6.9,15.138855
octubre,Viernes,1995,The Doom Generation,57.0,5.6,7.120806
octubre,Jueves,1995,Feast of July,0.0,0.0,0.523575
julio,Viernes,1995,First Knight,319.0,5.9,15.178338
julio,Miércoles,1995,Free Willy 2 - The Adventure Home,130.0,5.5,7.575098
septiembre,Jueves,1995,Hackers,406.0,6.2,14.810519
agosto,Viernes,1995,Jeffrey,19.0,6.5,3.196456
mayo,Viernes,1995,Johnny Mnemonic,380.0,5.5,11.715868
junio,Viernes,1995,Judge Dredd,643.0,5.4,8.184815
abril,Miércoles,1995,Jury Duty,34.0,4.0,3.676921
julio,Viernes,1995,Kids,280.0,6.8,4.877872
enero,Viernes,1995,Living in Oblivion,64.0,7.2,10.058329
agosto,Viernes,1995,Lord of Illusions,87.0,5.9,4.102409
mayo,Jueves,1993,Love & Human Remains,7.0,7.0,0.354014
mayo,Viernes,1995,Mad Love,27.0,5.5,2.624771
octubre,Viernes,1995,Mallrats,400.0,6.8,8.25547
junio,Viernes,1995,Mighty Morphin Power Rangers: The Movie,153.0,5.2,7.024227
septiembre,Viernes,1995,Moonlight and Valentino,10.0,5.6,1.01115
septiembre,Jueves,1995,Mute Witness,36.0,6.4,2.466066
septiembre,Martes,1994,Nadja,12.0,5.9,7.720056
julio,Viernes,1995,The Net,359.0,5.6,13.304342
julio,Miércoles,1995,Nine Months,171.0,5.5,8.482834
junio,Viernes,1995,Party Girl,14.0,5.8,1.165039
septiembre,Viernes,1995,The Prophecy,139.0,6.4,10.187623
noviembre,Viernes,1995,Reckless,1.0,10.0,0.119713
junio,Viernes,1995,Safe,62.0,7.2,8.180047
octubre,Viernes,1995,The Scarlet Letter,111.0,5.5,6.752119
agosto,Viernes,1995,The Show,2.0,5.3,0.159596
septiembre,Viernes,1995,Showgirls,261.0,4.9,17.502375
junio,Viernes,1995,Smoke,115.0,7.2,5.552946
agosto,Viernes,1995,Something to Talk About,60.0,5.7,3.743212
julio,Viernes,1995,Species,457.0,5.5,13.492845
septiembre,Viernes,1995,The Stars Fell on Henrietta,6.0,6.6,0.913522
octubre,Viernes,1995,Strange Days,334.0,6.8,11.223055
febrero,Miércoles,1964,The Umbrellas of Cherbourg,119.0,7.6,8.133881
septiembre,Viernes,1995,The Tie That Binds,9.0,4.6,1.820419
octubre,Viernes,1995,Three Wishes,18.0,6.1,11.002046
noviembre,Jueves,1995,Total Eclipse,112.0,6.5,4.546552
septiembre,Jueves,1995,"To Wong Foo, Thanks for Everything! Julie Newmar",117.0,6.3,7.653446
julio,Jueves,1995,Under Siege 2: Dark Territory,217.0,5.6,7.490247
septiembre,Viernes,1995,Unstrung Heroes,9.0,6.4,2.881689
agosto,Viernes,1995,Unzipped,6.0,6.0,0.786023
agosto,Viernes,1995,A Walk in the Clouds,168.0,6.5,9.715639
julio,Viernes,1995,Waterworld,1017.0,5.9,16.885184
diciembre,Viernes,1995,White Man's Burden,25.0,5.1,1.834099
diciembre,Viernes,1995,Wild Bill,27.0,5.9,8.922139
octubre,Miércoles,1994,The Browning Version,11.0,6.0,3.727644
agosto,Viernes,1995,Bushwhacked,29.0,4.9,3.287036
